Waktu,Tegangan,Arus
0.0,0.0,0.0
4.004004004004004e-05,2.767295924523033,0.02767295924523033
8.008008008008008e-05,5.534153985662687,0.055341539856626876
0.00012012012012012012,8.30013638931778,0.0830013638931778
0.00016016016016016016,11.064805479940562,0.11064805479940562
0.0002002002002002002,13.827723809786029,0.1382772380978603
0.00024024024024024023,16.58845420812835,0.1658845420812835
0.00028028028028028026,19.346559850433476,0.19346559850433476
0.0003203203203203203,22.101604327476952,0.22101604327476954
0.00036036036036036037,24.853151714396027,0.24853151714396027
0.0004004004004004004,27.60076663966513,0.2760076663966513
0.0004404404404404404,30.344014353983788,0.3034401435398379
0.00048048048048048047,33.08246079906607,0.3308246079906607
0.0005205205205205205,35.81567267632075,0.35815672676320753
0.0005605605605605605,38.54321751541117,0.3854321751541117
0.0006006006006006006,41.26466374268417,0.4126466374268417
0.0006406406406406406,43.979580749457014,0.43979580749457015
0.0006806806806806807,46.687538960151734,0.46687538960151737
0.0007207207207207207,49.388109900265974,0.49388109900265975
0.0007607607607607608,52.08086626416955,0.5208086626416955
0.0008008008008008008,54.765381982716164,0.5476538198271617
0.0008408408408408408,57.44123229065941,0.574412322906594
0.0008808808808808808,60.10799379386249,0.6010799379386249
0.0009209209209209209,62.76524453629094,0.6276524453629094
0.0009609609609609609,65.4125640667779,0.654125640667779
0.001001001001001001,68.04953350555117,0.6804953350555116
0.001041041041041041,70.67573561051162,0.7067573561051163
0.001081081081081081,73.29075484325267,0.7329075484325267
0.001121121121121121,75.8941774348099,0.7589417743480991
0.0011611611611611612,78.48559145113099,0.7848559145113099
0.0012012012012012011,81.06458685825497,0.8106458685825497
0.0012412412412412413,83.63075558719127,0.8363075558719127
0.0012812812812812813,86.18369159848741,0.8618369159848741
0.0013213213213213212,88.72299094647587,0.8872299094647588
0.0013613613613613614,91.24825184318954,0.9124825184318953
0.0014014014014014013,93.75907472193576,0.9375907472193576
0.0014414414414414415,96.25506230051896,0.9625506230051896
0.0014814814814814814,98.73581964410168,0.9873581964410169
0.0015215215215215216,101.20095422769442,1.0120095422769442
0.0015615615615615615,103.65007599826392,1.0365007599826392
0.0016016016016016017,106.08279743645052,1.0608279743645053
0.0016416416416416416,108.49873361788437,1.0849873361788438
0.0016816816816816816,110.89750227409141,1.108975022740914
0.0017217217217217217,113.27872385297877,1.1327872385297877
0.0017617617617617617,115.64202157889056,1.1564202157889056
0.0018018018018018018,117.98702151222415,1.1798702151222416
0.0018418418418418418,120.31335260859802,1.2031335260859803
0.001881881881881882,122.62064677756129,1.2262064677756128
0.0019219219219219219,124.90853894083571,1.2490853894083571
0.001961961961961962,127.17666709008155,1.2717666709008155
0.002002002002002002,129.42467234417714,1.2942467234417714
0.002042042042042042,131.6521990060039,1.3165219900600391
0.002082082082082082,133.85889461872776,1.3385889461872775
0.002122122122122122,136.0444100215674,1.360444100215674
0.002162162162162162,138.20839940504132,1.3820839940504133
0.0022022022022022024,140.35052036568464,1.4035052036568465
0.002242242242242242,142.4704339602267,1.424704339602267
0.0022822822822822822,144.56780475922147,1.4456780475922146
0.0023223223223223224,146.64230090012185,1.4664230090012185
0.002362362362362362,148.69359413978938,1.4869359413978938
0.0024024024024024023,150.7213599064318,1.5072135990643178
0.0024424424424424425,152.72527735095898,1.5272527735095898
0.0024824824824824826,154.70502939775048,1.5470502939775048
0.0025225225225225223,156.66030279482558,1.566603027948256
0.0025625625625625625,158.59078816340872,1.5859078816340872
0.0026026026026026027,160.49618004688148,1.6049618004688149
0.0026426426426426424,162.37617695911456,1.6237617695911455
0.0026826826826826826,164.23048143217142,1.6423048143217143
0.0027227227227227227,166.05880006337574,1.6605880006337574
0.002762762762762763,167.860843561736,1.67860843561736
0.0028028028028028026,169.63632679371943,1.6963632679371943
0.0028428428428428428,171.38496882836805,1.7138496882836805
0.002882882882882883,173.10649298174982,1.7310649298174983
0.0029229229229229227,174.80062686073762,1.7480062686073763
0.002962962962962963,176.46710240610963,1.7646710240610963
0.003003003003003003,178.10565593496366,1.7810565593496366
0.003043043043043043,179.7160281824392,1.7971602818243921
0.003083083083083083,181.29796434274016,1.8129796434274015
0.003123123123123123,182.85121410945257,1.8285121410945258
0.003163163163163163,184.37553171514983,1.8437553171514984
0.0032032032032032033,185.87067597027993,1.8587067597027993
0.003243243243243243,187.33641030132847,1.8733641030132846
0.0032832832832832832,188.77250278825124,1.8877250278825124
0.0033233233233233234,190.1787262011703,1.901787262011703
0.003363363363363363,191.55485803632803,1.9155485803632804
0.0034034034034034033,192.9006805512938,1.929006805512938
0.0034434434434434434,194.21598079941631,1.942159807994163
0.0034834834834834836,195.5005506635183,1.955005506635183
0.0035235235235235233,196.75418688882598,1.9675418688882598
0.0035635635635635635,197.97669111513,1.9797669111512999
0.0036036036036036037,199.16786990817127,1.9916786990817128
0.0036436436436436434,200.32753479024782,2.0032753479024783
0.0036836836836836835,201.45550227003721,2.0145550227003723
0.0037237237237237237,202.55159387162988,2.025515938716299
0.003763763763763764,203.61563616276914,2.0361563616276914
0.0038038038038038036,204.64746078229294,2.0464746078229292
0.0038438438438438438,205.6469044667732,2.056469044667732
0.003883883883883884,206.6138090763489,2.066138090763489
0.003923923923923924,207.54802161974786,2.0754802161974784
0.003963963963963964,208.44939427849457,2.084493942784946
0.004004004004004004,209.31778443029887,2.0931778443029887
0.004044044044044044,210.15305467162312,2.1015305467162313
0.004084084084084084,210.95507283942297,2.10955072839423
0.004124124124124124,211.72371203205938,2.1172371203205937
0.004164164164164164,212.45885062937802,2.1245885062937804
